category,headline,url
IT・科学,近畿の鉄道 災害時の発信課題,https://news.yahoo.co.jp/pickup/6287383
IT・科学,トイレ混雑解消へ 進化する鍵,https://news.yahoo.co.jp/pickup/6287360
IT・科学,AIで犯罪発生予測 開発に期待,https://news.yahoo.co.jp/pickup/6287353
IT・科学,自動運転死亡事故 動画視聴か,https://news.yahoo.co.jp/pickup/6287331
IT・科学,障害の娘 隠していた自分憎み,https://news.yahoo.co.jp/pickup/6287421
IT・科学,7000万年前の恐竜化石 鹿児島,https://news.yahoo.co.jp/pickup/6287388
IT・科学,弟殺害 他殺見抜く新法解剖,https://news.yahoo.co.jp/pickup/6287351
IT・科学,米 小惑星衝突対策に核使用も,https://news.yahoo.co.jp/pickup/6287349
IT・科学,産後のママ救う 新生児フォト,https://news.yahoo.co.jp/pickup/6287368
IT・科学,W杯現地 ダニ脳炎と麻疹注意,https://news.yahoo.co.jp/pickup/6287338
IT・科学,夏のドライブ 熱中症に注意,https://news.yahoo.co.jp/pickup/6287330
IT・科学,水滴「ぽちゃん」音の謎解明,https://news.yahoo.co.jp/pickup/6287328
国際,朝鮮戦争68年 不安消えた韓国,https://news.yahoo.co.jp/pickup/6287424
国際,並外れた脅威 米が北制裁延長,https://news.yahoo.co.jp/pickup/6287366
国際,米韓演習さらに2つの中止発表,https://news.yahoo.co.jp/pickup/6287352
国際,大統領狙い?ジンバブエで爆発,https://news.yahoo.co.jp/pickup/6287426
国際,エチオピア 首相集会で爆発,https://news.yahoo.co.jp/pickup/6287405
国際,米の貿易政策 ドイツ車に打撃,https://news.yahoo.co.jp/pickup/6287398
国際,ドッグレース廃止へ マカオ,https://news.yahoo.co.jp/pickup/6287427
スポーツ,セネガル戦 勝てばGL突破も,https://news.yahoo.co.jp/pickup/6287441
スポーツ,FIFA懲罰委 鷲ポーズ調査開始,https://news.yahoo.co.jp/pickup/6287430
スポーツ,ドイツ 崖っぷちから逆転勝ち,https://news.yahoo.co.jp/pickup/6287404
スポーツ,韓国 W杯2大会未勝利の危機,https://news.yahoo.co.jp/pickup/6287413
スポーツ,ベルギー 圧勝で決勝T決定的,https://news.yahoo.co.jp/pickup/6287393
スポーツ,10秒16 桐生の代表入り絶望的,https://news.yahoo.co.jp/pickup/6287434
スポーツ,大嶺翔太引退 2年前から問題,https://news.yahoo.co.jp/pickup/6287409
スポーツ,審判殴打 学校に差別的な電話,https://news.yahoo.co.jp/pickup/6287386
